additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,short_name,character,unicodes
,objects & tools,79,10024A,FALSE,,,add.to.calendar,,,calendar.badge.plus,􀉊,XXXXX
,objects & tools,79,100903,FALSE,,,,,,externaldrive.fill,􀤃,XXXXX
,objects & tools,80,10024B,FALSE,,,remove.from.calendar,,,calendar.badge.minus,􀉋,XXXXX
,objects & tools,80,100A4E,FALSE,,,,,,externaldrive.badge.plus,􀩎,XXXXX
,arrows,81,10024C,FALSE,,,reply,,,arrowshape.turn.up.left,􀉌,XXXXX
,objects & tools,81,100A52,FALSE,,,,,,externaldrive.fill.badge.plus,􀩒,XXXXX
,arrows,82,10024D,FALSE,,,reply.fill,,,arrowshape.turn.up.left.fill,􀉍,XXXXX
,objects & tools,82,100A4F,FALSE,,,,,,externaldrive.badge.minus,􀩏,XXXXX
,arrows,83,10024E,FALSE,,,reply,,,arrowshape.turn.up.left.circle,􀉎,XXXXX
,objects & tools,83,100A53,FALSE,,,,,,externaldrive.fill.badge.minus,􀩓,XXXXX
,arrows,84,10024F,FALSE,,,reply.fill,,,arrowshape.turn.up.left.circle.fill,􀉏,XXXXX
,objects & tools,84,100A50,FALSE,,,,,,externaldrive.badge.checkmark,􀩐,XXXXX
,arrows,85,100250,FALSE,,,forward,,,arrowshape.turn.up.right,􀉐,XXXXX
,objects & tools,85,100A54,FALSE,,,,,,externaldrive.fill.badge.checkmark,􀩔,XXXXX
,arrows,86,100251,FALSE,,,forward.fill,,,arrowshape.turn.up.right.fill,􀉑,XXXXX
,objects & tools,86,100A51,FALSE,,,,,,externaldrive.badge.xmark,􀩑,XXXXX
,arrows,87,100252,FALSE,,,forward,,,arrowshape.turn.up.right.circle,􀉒,XXXXX
,objects & tools,87,100A55,FALSE,,,,,,externaldrive.fill.badge.xmark,􀩕,XXXXX
,arrows,88,100253,FALSE,,,forward.fill,,,arrowshape.turn.up.right.circle.fill,􀉓,XXXXX
,arrows,89,100254,FALSE,,,reply.all,,,arrowshape.turn.up.left.2,􀉔,XXXXX
,arrows,90,100255,FALSE,,,reply.all.fill,,,arrowshape.turn.up.left.2.fill,􀉕,XXXXX
,"objects & tools, human",92,100A6C,FALSE,,,,,,externaldrive.badge.person.crop,􀩬,XXXXX
,"objects & tools, human",93,100A6D,FALSE,,,,,,externaldrive.fill.badge.person.crop,􀩭,XXXXX
