additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,private,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,semantic_name_4,semantic_name_5,semantic_name_6,semantic_name_7,semantic_name_8,short_name,aliases,character,unicodes,availability
,"multicolor, objectsandtools",90,100A51,TRUE,FALSE,,,,,,,,,,,externaldrive.badge.xmark,,􀩑,XXXXX,2020
,"multicolor, objectsandtools",91,100A55,TRUE,FALSE,,,,,,,,,,,externaldrive.fill.badge.xmark,,􀩕,XXXXX,2020
,"human, objectsandtools",92,100A6C,TRUE,FALSE,,,,,,,,,,,externaldrive.badge.person.crop,,􀩬,XXXXX,2020
,"human, objectsandtools",93,100A6D,TRUE,FALSE,,,,,,,,,,,externaldrive.fill.badge.person.crop,,􀩭,XXXXX,2020
,objectsandtools,94,100AB9,TRUE,FALSE,,,,,,,,,,,externaldrive.badge.icloud,,􀪹,XXXXX,2020
,objectsandtools,95,100ABA,TRUE,FALSE,,,,,,,,,,,externaldrive.fill.badge.icloud,,􀪺,XXXXX,2020
,"multicolor, objectsandtools",96,100A6E,TRUE,FALSE,,,,,,,,,,,externaldrive.badge.wifi,,􀩮,XXXXX,2020
,"multicolor, objectsandtools",97,100A6F,TRUE,FALSE,,,,,,,,,,,externaldrive.fill.badge.wifi,,􀩯,XXXXX,2020
,objectsandtools,98,10091C,TRUE,FALSE,,,,,,,,,,,externaldrive.badge.timemachine,,􀤜,XXXXX,2020
,objectsandtools,99,10091D,TRUE,FALSE,,,,,,,,,,,externaldrive.fill.badge.timemachine,,􀤝,XXXXX,2020
,objectsandtools,100,10097E,TRUE,FALSE,,,,,,,,,,,internaldrive,,􀥾,XXXXX,2020
,objectsandtools,101,100A2A,TRUE,FALSE,,,,,,,,,,,internaldrive.fill,,􀨪,XXXXX,2020
,objectsandtools,102,100904,TRUE,FALSE,,,,,,,,,,,opticaldiscdrive,,􀤄,XXXXX,2020
,objectsandtools,103,100905,TRUE,FALSE,,,,,,,,,,,opticaldiscdrive.fill,,􀤅,XXXXX,2020
,"connectivity, objectsandtools",104,100A24,TRUE,FALSE,,,,,,,,,,,externaldrive.connected.to.line.below,,􀨤,XXXXX,2020
,"connectivity, objectsandtools",105,100A25,TRUE,FALSE,,,,,,,,,,,externaldrive.connected.to.line.below.fill,,􀨥,XXXXX,2020
"archive, mail",objectsandtools,106,10022D,TRUE,FALSE,,,archive,mail,,,,,,,archivebox,,􀈭,XXXXX,2019
"archive, archive.fill, mail",objectsandtools,107,10022E,TRUE,FALSE,,,archive,archive.fill,mail,,,,,,archivebox.fill,,􀈮,XXXXX,2019
"archive, archive.circle",objectsandtools,108,10022F,TRUE,FALSE,,,archive,archive.circle,,,,,,,archivebox.circle,,􀈯,XXXXX,2020
"archive, archive.circle.fill","multicolor, objectsandtools",109,100230,TRUE,FALSE,,,archive,archive.circle.fill,,,,,,,archivebox.circle.fill,,􀈰,XXXXX,2020
"junk, mail",objectsandtools,110,100231,TRUE,FALSE,,,junk,mail,,,,,,,xmark.bin,bin.xmark,􀈱,XXXXX,2020
"junk, junk.fill, mail",objectsandtools,111,100232,TRUE,FALSE,,,junk,junk.fill,mail,,,,,,xmark.bin.fill,bin.xmark.fill,􀈲,XXXXX,2020
"junk, junk.circle",objectsandtools,112,100233,TRUE,FALSE,,,junk,junk.circle,,,,,,,xmark.bin.circle,,􀈳,XXXXX,2020
"junk, junk.circle.fill","multicolor, objectsandtools",113,100234,TRUE,FALSE,,,junk,junk.circle.fill,,,,,,,xmark.bin.circle.fill,,􀈴,XXXXX,2020
mail,objectsandtools,114,100235,TRUE,FALSE,,,mail,,,,,,,,arrow.up.bin,,􀈵,XXXXX,2019
mail,objectsandtools,115,100236,TRUE,FALSE,,,mail,,,,,,,,arrow.up.bin.fill,,􀈶,XXXXX,2019
document,objectsandtools,116,100237,TRUE,FALSE,,,document,,,,,,,,doc,,􀈷,XXXXX,2019
"document, document.fill",objectsandtools,117,100238,TRUE,FALSE,,,document,document.fill,,,,,,,doc.fill,,􀈸,XXXXX,2019
"document, document.circle",objectsandtools,118,100239,TRUE,FALSE,,,document,document.circle,,,,,,,doc.circle,,􀈹,XXXXX,2019
"document, document.circle.fill","multicolor, objectsandtools",119,10023A,TRUE,FALSE,,,document,document.circle.fill,,,,,,,doc.circle.fill,,􀈺,XXXXX,2019
"+, add, create, new","multicolor, objectsandtools",120,1008D7,TRUE,FALSE,,,+,add,create,new,,,,,doc.badge.plus,,􀣗,XXXXX,2020
"+, add, create, new","multicolor, objectsandtools",121,1008D8,TRUE,FALSE,,,+,add,create,new,,,,,doc.fill.badge.plus,,􀣘,XXXXX,2020
,objectsandtools,122,100A5A,TRUE,FALSE,,,,,,,,,,,doc.badge.gearshape,,􀩚,XXXXX,2020
,objectsandtools,123,100A5B,TRUE,FALSE,,,,,,,,,,,doc.badge.gearshape.fill,,􀩛,XXXXX,2020
,objectsandtools,124,100A74,TRUE,FALSE,,,,,,,,,,,doc.badge.ellipsis,,􀩴,XXXXX,2020
,objectsandtools,125,100A75,TRUE,FALSE,,,,,,,,,,,doc.fill.badge.ellipsis,,􀩵,XXXXX,2020
,objectsandtools,126,10088D,TRUE,FALSE,,,,,,,,,,,lock.doc,,􀢍,XXXXX,2020
,objectsandtools,127,10088E,TRUE,FALSE,,,,,,,,,,,lock.doc.fill,,􀢎,XXXXX,2020
,objectsandtools,128,10023B,TRUE,FALSE,,,,,,,,,,,arrow.up.doc,,􀈻,XXXXX,2019
,objectsandtools,129,10023C,TRUE,FALSE,,,,,,,,,,,arrow.up.doc.fill,,􀈼,XXXXX,2019
,objectsandtools,130,10023D,TRUE,FALSE,,,,,,,,,,,arrow.down.doc,,􀈽,XXXXX,2019
,objectsandtools,131,10023E,TRUE,FALSE,,,,,,,,,,,arrow.down.doc.fill,,􀈾,XXXXX,2019
plain.text.document,objectsandtools,132,10023F,TRUE,FALSE,,,plain.text.document,,,,,,,,doc.text,,􀈿,XXXXX,2019
plain.text.document.fill,objectsandtools,133,100240,TRUE,FALSE,,,plain.text.document.fill,,,,,,,,doc.text.fill,,􀉀,XXXXX,2019
,,134,100927,TRUE,FALSE,,,,,,,,,,,doc.zipper,,􀤧,XXXXX,2020
"copy, documents",objectsandtools,135,100241,TRUE,FALSE,,,copy,documents,,,,,,,doc.on.doc,,􀉁,XXXXX,2019
"copy, copy.fill, documents.fill",objectsandtools,136,100242,TRUE,FALSE,,,copy,copy.fill,documents.fill,,,,,,doc.on.doc.fill,,􀉂,XXXXX,2019
"clipboard, paste, pasteboard",objectsandtools,137,100243,TRUE,FALSE,,,clipboard,paste,pasteboard,,,,,,doc.on.clipboard,,􀉃,XXXXX,2019
"clipboard, pasteboard",objectsandtools,138,100AF5,TRUE,FALSE,,,clipboard,pasteboard,,,,,,,arrow.right.doc.on.clipboard,,􀫵,XXXXX,2020
"clipboard, pasteboard",objectsandtools,139,100AF6,TRUE,FALSE,,,clipboard,pasteboard,,,,,,,arrow.up.doc.on.clipboard,,􀫶,XXXXX,2020
"clipboard, pasteboard",objectsandtools,140,100AF7,TRUE,FALSE,,,clipboard,pasteboard,,,,,,,arrow.triangle.2.circlepath.doc.on.clipboard,,􀫷,XXXXX,2020
"paste, paste.fill",objectsandtools,141,100244,TRUE,FALSE,,,paste,paste.fill,,,,,,,doc.on.clipboard.fill,,􀉄,XXXXX,2019
rich.text.document,,142,100245,TRUE,FALSE,,,rich.text.document,,,,,,,,doc.richtext,,􀉅,XXXXX,2019
,,143,10098A,TRUE,FALSE,,,,,,,,,,,doc.richtext.fill,,􀦊,XXXXX,2020
,,158,100246,TRUE,FALSE,,,,,,,,,,,doc.plaintext,,􀉆,XXXXX,2019
,,159,100968,TRUE,FALSE,,,,,,,,,,,doc.plaintext.fill,,􀥨,XXXXX,2020
,,160,100247,TRUE,FALSE,,,,,,,,,,,doc.append,,􀉇,XXXXX,2019
,,161,10098B,TRUE,FALSE,,,,,,,,,,,doc.append.fill,,􀦋,XXXXX,2020
,,168,10095C,TRUE,FALSE,,,,,,,,,,,chart.bar.doc.horizontal,,􀥜,XXXXX,2020
,,169,10098C,TRUE,FALSE,,,,,,,,,,,chart.bar.doc.horizontal.fill,,􀦌,XXXXX,2020
,whatsnew,170,1.00E+74,TRUE,FALSE,,,,,,,,,,,list.bullet.rectangle.portrait,,􀹲,XXXXX,2021
,whatsnew,171,1.00E+75,TRUE,FALSE,,,,,,,,,,,list.bullet.rectangle.portrait.fill,,􀹳,XXXXX,2021
search.document,objectsandtools,172,100579,TRUE,FALSE,,,search.document,,,,,,,,doc.text.magnifyingglass,,􀕹,XXXXX,2019
,,173,100A73,TRUE,FALSE,,,,,,,,,,,list.bullet.rectangle,,􀩳,XXXXX,2020
,whatsnew,174,100EBF,TRUE,FALSE,,,,,,,,,,,list.bullet.rectangle.fill,,􀺿,XXXXX,2021
,whatsnew,175,1.00E+48,TRUE,FALSE,,,,,,,,,,,list.dash.header.rectangle,,􀹆,XXXXX,2021
,objectsandtools,178,1009F5,TRUE,FALSE,,,,,,,,,,,note,,􀧵,XXXXX,2020
notes,objectsandtools,179,1004D5,TRUE,FALSE,,,notes,,,,,,,,note.text,,􀓕,XXXXX,2020
"+, add, create, new","multicolor, objectsandtools",180,1008D9,TRUE,FALSE,,,+,add,create,new,,,,,note.text.badge.plus,,􀣙,XXXXX,2020
"calendar, mail","multicolor, objectsandtools",181,100249,TRUE,FALSE,,,calendar,mail,,,,,,,calendar,,􀉉,XXXXX,2019
"calendar, calendar.circle","multicolor, objectsandtools",182,10048E,TRUE,FALSE,,,calendar,calendar.circle,,,,,,,calendar.circle,,􀒎,XXXXX,2019
"calendar, calendar.circle.fill","multicolor, objectsandtools",183,10048F,TRUE,FALSE,,,calendar,calendar.circle.fill,,,,,,,calendar.circle.fill,,􀒏,XXXXX,2019
"+, add, add.to.calendar, create, new","multicolor, objectsandtools",184,10024A,TRUE,FALSE,,,+,add,add.to.calendar,create,new,,,,calendar.badge.plus,,􀉊,XXXXX,2019
